City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,57.22,70,100,15.86,overcast clouds
1,Tornio,FI,65.8481,24.1466,15.82,81,100,9.08,overcast clouds
2,Port Alfred,ZA,-33.5906,26.891,64.69,83,100,10.85,overcast clouds
3,Natitingou,BJ,10.3042,1.3796,81.12,37,100,1.97,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,59.99,49,65,4.56,broken clouds
5,Kamina,CD,-8.7386,24.9906,62.92,98,88,4.43,light rain
6,Georgetown,MY,5.4112,100.3354,78.89,94,20,2.3,few clouds
7,Kapaa,US,22.0752,-159.319,82.47,69,75,3.0,broken clouds
8,New Norfolk,AU,-42.7826,147.0587,46.76,53,26,4.0,scattered clouds
9,Hobart,AU,-42.8794,147.3294,47.12,67,40,1.99,scattered clouds
10,Saint George,US,37.1041,-113.5841,81.07,25,1,1.99,clear sky
11,Urubamba,PE,-13.3047,-72.1158,68.9,75,97,6.42,overcast clouds
12,Vaini,TO,-21.2,-175.2,78.96,78,20,9.22,few clouds
13,Bluff,NZ,-46.6,168.3333,54.72,62,65,5.12,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,74.01,73,100,14.34,overcast clouds
15,Matara,LK,5.9485,80.5353,79.38,83,93,11.92,overcast clouds
16,Geraldton,AU,-28.7667,114.6,55.81,100,75,3.44,broken clouds
17,Husavik,IS,66.0449,-17.3389,37.31,71,28,20.11,scattered clouds
18,Kavieng,PG,-2.5744,150.7967,84.15,69,100,10.69,overcast clouds
19,Butaritari,KI,3.0707,172.7902,82.35,73,11,16.11,few clouds
20,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.57,95,100,0.74,overcast clouds
21,Castro,BR,-24.7911,-50.0119,62.83,69,96,5.06,overcast clouds
22,Mehamn,NO,71.0357,27.8492,26.51,78,100,14.45,light snow
23,Severo-Kurilsk,RU,50.6789,156.125,40.62,93,96,17.31,light rain
24,Torbay,CA,47.6666,-52.7314,48.67,88,20,24.16,few clouds
25,Wheatley,GB,51.7473,-1.1394,51.89,94,75,3.44,broken clouds
26,Ankazoabo,MG,-22.2833,44.5167,70.14,69,80,4.94,broken clouds
27,Bredasdorp,ZA,-34.5322,20.0403,62.31,78,100,1.59,overcast clouds
28,Sisimiut,GL,66.9395,-53.6735,18.75,70,100,9.8,light snow
29,East London,ZA,-33.0153,27.9116,64.44,82,94,10.63,overcast clouds
30,Vikhorevka,RU,56.1201,101.1636,26.19,97,100,3.04,overcast clouds
31,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,4.61,clear sky
32,Ushuaia,AR,-54.8,-68.3,42.46,81,75,25.32,drizzle
33,Capim Grosso,BR,-11.3811,-40.0128,72.54,79,98,13.76,overcast clouds
34,Sitka,US,57.0531,-135.33,39.09,81,75,3.44,broken clouds
35,Lanivtsi,UA,49.8633,26.0908,37.92,89,34,4.07,scattered clouds
36,Cabo San Lucas,MX,22.8909,-109.9124,89.51,42,20,4.61,few clouds
37,Port Macquarie,AU,-31.4333,152.9167,66.16,35,0,9.6,clear sky
38,Panjab,AF,34.388,67.0233,25.23,81,2,5.35,clear sky
39,Atherton,GB,53.5237,-2.4935,49.71,90,93,1.01,overcast clouds
40,Palmer,US,42.1584,-72.3287,46.54,70,90,3.44,overcast clouds
41,San Quintin,MX,30.4833,-115.95,77.31,33,0,10.27,clear sky
42,Kang,BW,-23.6752,22.7876,83.71,21,71,2.46,broken clouds
43,Cherskiy,RU,68.75,161.3,11.21,92,100,0.78,overcast clouds
44,Longyearbyen,SJ,78.2186,15.6401,8.44,78,40,12.66,scattered clouds
45,Saratovskaya,RU,44.7103,39.2244,38.79,84,100,2.86,overcast clouds
46,Portland,US,45.5234,-122.6762,66.58,80,90,4.0,overcast clouds
47,Yulara,AU,-25.2406,130.9889,66.04,32,24,13.8,few clouds
48,Victoria,HK,22.2855,114.1577,70.32,77,86,1.01,overcast clouds
49,Nazarovo,RU,56.0064,90.3914,30.7,95,100,10.4,light snow
50,San Patricio,US,28.017,-97.5169,84.92,46,0,11.99,clear sky
51,Avarua,CK,-21.2078,-159.775,78.85,65,90,6.91,overcast clouds
52,Qaanaaq,GL,77.484,-69.3632,-11.0,56,8,9.26,clear sky
53,Walvis Bay,NA,-22.9575,14.5053,61.09,85,79,5.68,broken clouds
54,Katsuura,JP,35.1333,140.3,51.91,70,0,9.64,clear sky
55,Dagda,LV,56.0951,27.5372,30.78,96,11,4.36,few clouds
56,Khatanga,RU,71.9667,102.5,-1.75,98,100,2.21,overcast clouds
57,Safford,US,32.834,-109.7076,83.52,12,1,0.0,clear sky
58,Lazaro Cardenas,MX,17.9583,-102.2,84.02,58,4,5.75,clear sky
59,Tra Vinh,VN,9.9347,106.3453,75.31,94,94,4.68,overcast clouds
60,Humaita,BR,-7.5061,-63.0208,83.01,71,100,1.5,overcast clouds
61,Zaraza,VE,9.3503,-65.3245,81.93,64,87,10.04,overcast clouds
62,Kuminskiy,RU,58.6667,66.5667,10.96,96,73,4.32,broken clouds
63,Hilo,US,19.7297,-155.09,82.13,81,1,10.36,clear sky
64,Kaitangata,NZ,-46.2817,169.8464,59.94,62,85,2.24,overcast clouds
65,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,92,75,10.36,broken clouds
66,Sao Borja,BR,-28.6606,-56.0044,71.94,76,100,3.47,overcast clouds
67,Kodiak,US,57.79,-152.4072,33.31,51,1,12.66,clear sky
68,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,29.93,broken clouds
69,Mount Gambier,AU,-37.8333,140.7667,49.14,65,97,10.27,light rain
70,Busselton,AU,-33.65,115.3333,57.04,71,32,11.52,scattered clouds
71,Hermanus,ZA,-34.4187,19.2345,63.9,75,100,3.87,overcast clouds
72,Atuona,PF,-9.8,-139.0333,78.58,69,2,15.9,clear sky
73,Cape Town,ZA,-33.9258,18.4232,66.09,75,0,12.66,clear sky
74,Princeton,US,25.5384,-80.4089,75.0,64,1,4.61,clear sky
75,Airai,TL,-8.9266,125.4092,61.84,86,98,2.75,overcast clouds
76,Whitehorse,CA,60.7161,-135.0538,19.09,92,90,8.01,light snow
77,Launceston,AU,-41.45,147.1667,49.8,54,90,5.01,light rain
78,Talnakh,RU,69.4865,88.3972,-11.29,99,91,2.04,overcast clouds
79,Imphal,IN,24.8167,93.95,56.3,78,32,2.82,scattered clouds
80,Itarema,BR,-2.9248,-39.9167,80.67,78,13,12.84,few clouds
81,Tiksi,RU,71.6872,128.8694,-14.4,98,68,6.69,broken clouds
82,Mandera,KE,3.9366,41.867,83.43,50,68,10.22,broken clouds
83,Bonavista,CA,48.6499,-53.1147,50.11,91,90,14.54,light rain
84,Jamestown,US,42.097,-79.2353,34.09,99,90,4.0,light snow
85,Panacan,PH,9.2463,118.4082,79.43,86,100,10.65,overcast clouds
86,Albany,US,42.6001,-73.9662,44.55,73,94,1.01,overcast clouds
87,Katangli,RU,51.7102,143.2326,23.85,88,68,6.35,broken clouds
88,Faanui,PF,-16.4833,-151.75,75.34,88,100,12.84,moderate rain
89,Cidreira,BR,-30.1811,-50.2056,68.63,82,100,19.19,overcast clouds
90,Takhatgarh,IN,25.3333,73.0,65.7,31,0,2.84,clear sky
91,Boda,CF,4.3189,17.4695,70.7,94,49,1.57,light rain
92,Grindavik,IS,63.8424,-22.4338,36.9,87,75,27.63,broken clouds
93,Alofi,NU,-19.0595,-169.9187,80.49,61,73,12.66,broken clouds
94,Ulaanbaatar,MN,47.9077,106.8832,22.62,50,7,2.8,clear sky
95,Saint Anthony,US,45.0205,-93.218,33.73,64,90,1.99,overcast clouds
96,Oxford,GB,51.7522,-1.256,52.48,95,90,4.61,overcast clouds
97,Kloulklubed,PW,7.0419,134.2556,75.7,71,86,7.74,overcast clouds
98,Narsaq,GL,60.9167,-46.05,8.82,78,2,4.21,clear sky
99,Hanzhong,CN,33.0728,107.0303,41.99,85,2,0.83,clear sky
100,Shangzhi,CN,45.2167,127.9667,21.94,95,92,6.26,overcast clouds
101,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.6,86,90,6.91,overcast clouds
102,Dryden,CA,49.7833,-92.7503,25.09,80,75,8.05,broken clouds
103,Beringovskiy,RU,63.05,179.3167,30.74,89,100,19.64,overcast clouds
104,Lebu,CL,-37.6167,-73.65,56.84,74,4,10.18,clear sky
105,Carnarvon,AU,-24.8667,113.6333,68.07,83,29,10.36,scattered clouds
106,Toul,FR,48.6667,5.9167,48.29,93,90,9.22,overcast clouds
107,Lodeynoye Pole,RU,60.726,33.5531,29.86,70,39,8.57,scattered clouds
108,Ribeira Grande,PT,38.5167,-28.7,66.6,77,40,23.02,scattered clouds
109,Mayo,US,38.8876,-76.5119,49.28,60,90,1.01,overcast clouds
110,Asosa,ET,10.0667,34.5333,65.86,43,78,4.36,broken clouds
111,Barrow,US,71.2906,-156.7887,8.62,78,90,14.97,light snow
112,Mahebourg,MU,-20.4081,57.7,76.24,76,87,10.45,overcast clouds
113,Beberibe,BR,-4.1797,-38.1306,86.16,77,5,13.02,clear sky
114,Coos Bay,US,43.3665,-124.2179,67.01,90,90,8.05,overcast clouds
115,Kabompo,ZM,-13.5927,24.2008,64.44,97,100,3.96,light rain
116,Yangmei,CN,24.1023,112.5618,57.13,68,98,3.27,overcast clouds
117,Mpraeso,GH,6.5932,-0.7346,72.3,89,54,3.83,broken clouds
118,Porto Walter,BR,-8.2686,-72.7439,86.47,53,70,5.01,broken clouds
